Q,A
서울 송파구에서 합기도에 대한 강좌를 알려줘.,서울 송파구에는 백호합기도1관에서 하는 합기도 프로그램이 있습니다. 
서울 송파구에서 탁구에 대한 강좌를 알려줘.,서울 송파구에는 SP탁구클럽에서 하는 기본기 완성 프로그램이 있습니다. 
서울 송파구에서 골프에 대한 강좌를 알려줘.,서울 송파구에는 골프에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 줄넘기에 대한 강좌를 알려줘.,서울 송파구에는 줄넘기에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 필라테스에 대한 강좌를 알려줘.,서울 송파구에는 머슐랭가이드에서 하는 필라테스 프로그램이 있습니다. 
서울 송파구에서 축구(풋살)에 대한 강좌를 알려줘.,서울 송파구에는 축구(풋살)에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 요가에 대한 강좌를 알려줘.,서울 송파구에는 요가에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 댄스(줌바 등)에 대한 강좌를 알려줘.,서울 송파구에는 스웨이댄스 잠실석촌호수점에서 하는 몸치탈출 KPOP 개인레슨 1회 (원하는곡 선택가능) 프로그램이 있습니다. 
서울 송파구에서 당구에 대한 강좌를 알려줘.,서울 송파구에는 당구에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 수영에 대한 강좌를 알려줘.,서울 송파구에는 수영에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 볼링에 대한 강좌를 알려줘.,서울 송파구에는 볼링에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 에어로빅에 대한 강좌를 알려줘.,서울 송파구에는 에어로빅에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 클라이밍(암벽등반)에 대한 강좌를 알려줘.,서울 송파구에는 클라이밍(암벽등반)에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 검도에 대한 강좌를 알려줘.,서울 송파구에는 검도에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 테니스에 대한 강좌를 알려줘.,서울 송파구에는 테니스에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 복싱에 대한 강좌를 알려줘.,서울 송파구에는 복싱에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 종합체육시설에 대한 강좌를 알려줘.,서울 송파구에는 종합체육시설에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 농구에 대한 강좌를 알려줘.,서울 송파구에는 농구에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 승마에 대한 강좌를 알려줘.,서울 송파구에는 승마에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 무용(발레 등)에 대한 강좌를 알려줘.,서울 송파구에는 무용(발레 등)에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 배드민턴에 대한 강좌를 알려줘.,서울 송파구에는 에이원민턴 잠실본동점에서 하는 실내배드민턴 레슨 2회권 프로그램이 있습니다. 
서울 송파구에서 유도에 대한 강좌를 알려줘.,서울 송파구에는 유도에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 주짓수에 대한 강좌를 알려줘.,서울 송파구에는 주짓수에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 스쿼시에 대한 강좌를 알려줘.,서울 송파구에는 스쿼시에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 롤러인라인에 대한 강좌를 알려줘.,서울 송파구에는 롤러인라인에 관한 프로그램이 존재하지 않습니다.
서울 송파구에서 펜싱에 대한 강좌를 알려줘.,서울 송파구에는 펜싱에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 헬스에 대한 강좌를 알려줘.,"서울 양천구에는 엘리트핏24에서 하는 헬스 프로그램이 있습니다. 
서울 양천구에는 곰돌이발달지원센터에서 하는 헬스 자전거 인라인스케이트  체력운동 탁구 프로그램이 있습니다. 
서울 양천구에는 곰돌이발달지원센터에서 하는 헬스/자전거/인라인/보치아/탁구 프로그램이 있습니다. "
서울 양천구에서 태권도에 대한 강좌를 알려줘.,"서울 양천구에는 mnt태권도 스포츠센터에서 하는 태권도 프로그램이 있습니다. 
서울 양천구에는 mnt태권도 스포츠센터에서 하는 태권도 프로그램이 있습니다. 
서울 양천구에는 아라한태권도장에서 하는 태권도 실전 프로그램이 있습니다. "
서울 양천구에서 기타종목에 대한 강좌를 알려줘.,"서울 양천구에는 좋은세상발달센터에서 하는 특수체육 프로그램이 있습니다. 
서울 양천구에는 배틀샷그라운드에서 하는 사격 훈련 1회 프로그램이 있습니다. 
서울 양천구에는 배틀샷그라운드에서 하는 사격 훈련 30분 3회 프로그램이 있습니다. 
서울 양천구에는 배틀샷그라운드에서 하는 사격 훈련 30분 5회 프로그램이 있습니다. 
서울 양천구에는 점핑플러스에서 하는 고고 점핑 트램폴린 운동 프로그램이 있습니다. 
서울 양천구에는 다사랑아동발달센터에서 하는 심리운동 프로그램이 있습니다. 
서울 양천구에는 짐스아동발달센터(목동)에서 하는 특수체육 및 심리운동 프로그램이 있습니다. "
서울 양천구에서 합기도에 대한 강좌를 알려줘.,서울 양천구에는 합기도에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 탁구에 대한 강좌를 알려줘.,서울 양천구에는 탁구에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 골프에 대한 강좌를 알려줘.,서울 양천구에는 골프에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 줄넘기에 대한 강좌를 알려줘.,서울 양천구에는 줄넘기에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 필라테스에 대한 강좌를 알려줘.,서울 양천구에는 바디샵필라테스피티에서 하는 그룹필라테스 이용권 프로그램이 있습니다. 
서울 양천구에서 축구(풋살)에 대한 강좌를 알려줘.,서울 양천구에는 축구(풋살)에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 요가에 대한 강좌를 알려줘.,서울 양천구에는 요가에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 댄스(줌바 등)에 대한 강좌를 알려줘.,서울 양천구에는 댄스(줌바 등)에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 당구에 대한 강좌를 알려줘.,서울 양천구에는 당구에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 수영에 대한 강좌를 알려줘.,서울 양천구에는 수영에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 볼링에 대한 강좌를 알려줘.,서울 양천구에는 볼링에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 에어로빅에 대한 강좌를 알려줘.,서울 양천구에는 에어로빅에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 클라이밍(암벽등반)에 대한 강좌를 알려줘.,서울 양천구에는 클라이밍(암벽등반)에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 검도에 대한 강좌를 알려줘.,서울 양천구에는 검도에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 테니스에 대한 강좌를 알려줘.,서울 양천구에는 테니스에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 복싱에 대한 강좌를 알려줘.,서울 양천구에는 복싱에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 종합체육시설에 대한 강좌를 알려줘.,서울 양천구에는 종합체육시설에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 농구에 대한 강좌를 알려줘.,서울 양천구에는 농구에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 승마에 대한 강좌를 알려줘.,서울 양천구에는 승마에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 무용(발레 등)에 대한 강좌를 알려줘.,서울 양천구에는 무용(발레 등)에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 배드민턴에 대한 강좌를 알려줘.,서울 양천구에는 배드민턴에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 유도에 대한 강좌를 알려줘.,서울 양천구에는 유도에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 주짓수에 대한 강좌를 알려줘.,서울 양천구에는 주짓수에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 스쿼시에 대한 강좌를 알려줘.,서울 양천구에는 스쿼시에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 롤러인라인에 대한 강좌를 알려줘.,서울 양천구에는 롤러인라인에 관한 프로그램이 존재하지 않습니다.
서울 양천구에서 펜싱에 대한 강좌를 알려줘.,서울 양천구에는 펜싱에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 헬스에 대한 강좌를 알려줘.,"서울 영등포구에는 신길pt에서 하는 핼스 프로그램이 있습니다. 
서울 영등포구에는 영등포제2스포츠센터에서 하는 헬스교실 프로그램이 있습니다. 
서울 영등포구에는 시립문래청소년센터에서 하는 헬스(월-금,1일 1회이용) 프로그램이 있습니다. "
서울 영등포구에서 태권도에 대한 강좌를 알려줘.,"서울 영등포구에는 용인대인성태권도에서 하는 태권도,생활체육,학교체육 프로그램이 있습니다. 
서울 영등포구에는 도림금강태권도장에서 하는 태권도 프로그램이 있습니다. 
서울 영등포구에는 신청룡체육관에서 하는 태권도 프로그램이 있습니다. "
서울 영등포구에서 기타종목에 대한 강좌를 알려줘.,"서울 영등포구에는 대박점핑에서 하는 점핑 프로그램이 있습니다. 
서울 영등포구에는 캐롬빌리지에서 하는 당구 쓰리쿠션의 기초 및 중급, 고급 프로그램이 있습니다. 
서울 영등포구에는 킹스키즈센터에서 하는 심리운동 2회 프로그램이 있습니다. "
서울 영등포구에서 합기도에 대한 강좌를 알려줘.,서울 영등포구에는 합기도에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 탁구에 대한 강좌를 알려줘.,"서울 영등포구에는 사단법인 영등포구스포츠클럽에서 하는 월회비, 주1회 프로그램이 있습니다. 
서울 영등포구에는 사단법인 영등포구스포츠클럽에서 하는 월회비, 주2회 프로그램이 있습니다. 
서울 영등포구에는 365탁구클럽에서 하는 탁구 강습 프로그램이 있습니다. "
서울 영등포구에서 골프에 대한 강좌를 알려줘.,서울 영등포구에는 골프에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 줄넘기에 대한 강좌를 알려줘.,서울 영등포구에는 줄넘기에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 필라테스에 대한 강좌를 알려줘.,"서울 영등포구에는 라온필라테스에서 하는 1:1 개인재활필라테스 프로그램이 있습니다. 
서울 영등포구에는 라온필라테스에서 하는 4:1 소그룹필라테스 프로그램이 있습니다. 
서울 영등포구에는 프라이드필라테스에서 하는 그룹레슨 프로그램이 있습니다. "
서울 영등포구에서 축구(풋살)에 대한 강좌를 알려줘.,"서울 영등포구에는 하이어스풋볼클럽에서 하는 축구,풋살 &amp; 특수체육,사회성체육 프로그램이 있습니다. "
서울 영등포구에서 요가에 대한 강좌를 알려줘.,서울 영등포구에는 요가에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 댄스(줌바 등)에 대한 강좌를 알려줘.,서울 영등포구에는 댄스(줌바 등)에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 당구에 대한 강좌를 알려줘.,서울 영등포구에는 당구에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 수영에 대한 강좌를 알려줘.,서울 영등포구에는 수영에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 볼링에 대한 강좌를 알려줘.,서울 영등포구에는 볼링에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 에어로빅에 대한 강좌를 알려줘.,서울 영등포구에는 에어로빅에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 클라이밍(암벽등반)에 대한 강좌를 알려줘.,서울 영등포구에는 클라이밍(암벽등반)에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 검도에 대한 강좌를 알려줘.,서울 영등포구에는 검도에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 테니스에 대한 강좌를 알려줘.,서울 영등포구에는 테니스에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 복싱에 대한 강좌를 알려줘.,서울 영등포구에는 복싱에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 종합체육시설에 대한 강좌를 알려줘.,서울 영등포구에는 종합체육시설에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 농구에 대한 강좌를 알려줘.,서울 영등포구에는 농구에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 승마에 대한 강좌를 알려줘.,서울 영등포구에는 승마에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 무용(발레 등)에 대한 강좌를 알려줘.,서울 영등포구에는 무용(발레 등)에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 배드민턴에 대한 강좌를 알려줘.,서울 영등포구에는 배드민턴에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 유도에 대한 강좌를 알려줘.,서울 영등포구에는 유도에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 주짓수에 대한 강좌를 알려줘.,서울 영등포구에는 주짓수에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 스쿼시에 대한 강좌를 알려줘.,서울 영등포구에는 스쿼시에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 롤러인라인에 대한 강좌를 알려줘.,서울 영등포구에는 롤러인라인에 관한 프로그램이 존재하지 않습니다.
서울 영등포구에서 펜싱에 대한 강좌를 알려줘.,서울 영등포구에는 펜싱에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 헬스에 대한 강좌를 알려줘.,서울 용산구에는 헬스에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 태권도에 대한 강좌를 알려줘.,서울 용산구에는 태권도에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 기타종목에 대한 강좌를 알려줘.,서울 용산구에는 펠든크라이스다움에서 하는 MY 펠든크라이스(기타) 프로그램이 있습니다. 
서울 용산구에서 합기도에 대한 강좌를 알려줘.,서울 용산구에는 합기도에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 탁구에 대한 강좌를 알려줘.,서울 용산구에는 탁구에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 골프에 대한 강좌를 알려줘.,서울 용산구에는 골프에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 줄넘기에 대한 강좌를 알려줘.,서울 용산구에는 줄넘기에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 필라테스에 대한 강좌를 알려줘.,"서울 용산구에는 디아필라테스X디아에서 하는 대면/1회 필라테스 개인레슨 프로그램이 있습니다. 
서울 용산구에는 디아필라테스X디아에서 하는 대면/2회 필라테스 개인레슨 프로그램이 있습니다. 
서울 용산구에는 리솜필라테스에서 하는 오전 월수금 그룹 필라테스 프로그램이 있습니다. 
서울 용산구에는 리솜필라테스에서 하는 필라테스 개인1회 + 그룹1회 프로그램이 있습니다. "
서울 용산구에서 축구(풋살)에 대한 강좌를 알려줘.,서울 용산구에는 축구(풋살)에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 요가에 대한 강좌를 알려줘.,서울 용산구에는 시바난다요가에서 하는 요가 프로그램이 있습니다. 
서울 용산구에서 댄스(줌바 등)에 대한 강좌를 알려줘.,서울 용산구에는 댄스(줌바 등)에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 당구에 대한 강좌를 알려줘.,서울 용산구에는 당구에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 수영에 대한 강좌를 알려줘.,서울 용산구에는 수영에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 볼링에 대한 강좌를 알려줘.,서울 용산구에는 볼링에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 에어로빅에 대한 강좌를 알려줘.,서울 용산구에는 에어로빅에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 클라이밍(암벽등반)에 대한 강좌를 알려줘.,서울 용산구에는 클라이밍(암벽등반)에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 검도에 대한 강좌를 알려줘.,서울 용산구에는 검도에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 테니스에 대한 강좌를 알려줘.,서울 용산구에는 테니스에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 복싱에 대한 강좌를 알려줘.,서울 용산구에는 복싱에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 종합체육시설에 대한 강좌를 알려줘.,서울 용산구에는 종합체육시설에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 농구에 대한 강좌를 알려줘.,서울 용산구에는 농구에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 승마에 대한 강좌를 알려줘.,서울 용산구에는 승마에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 무용(발레 등)에 대한 강좌를 알려줘.,서울 용산구에는 무용(발레 등)에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 배드민턴에 대한 강좌를 알려줘.,서울 용산구에는 배드민턴에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 유도에 대한 강좌를 알려줘.,서울 용산구에는 유도에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 주짓수에 대한 강좌를 알려줘.,서울 용산구에는 주짓수에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 스쿼시에 대한 강좌를 알려줘.,서울 용산구에는 스쿼시에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 롤러인라인에 대한 강좌를 알려줘.,서울 용산구에는 롤러인라인에 관한 프로그램이 존재하지 않습니다.
서울 용산구에서 펜싱에 대한 강좌를 알려줘.,서울 용산구에는 펜싱에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 헬스에 대한 강좌를 알려줘.,"서울 은평구에는 서부재활체육센터에서 하는 재활헬스(보호자동반) 프로그램이 있습니다. 
서울 은평구에는 서부재활체육센터에서 하는 재활헬스(보호자헬스) 프로그램이 있습니다. 
서울 은평구에는 서부재활체육센터에서 하는 재활헬스 프로그램이 있습니다. 
서울 은평구에는 에르제주식회사에서 하는 에르제 PT 스튜디오 프로그램이 있습니다. 
서울 은평구에는 헬슐랭피트니스에서 하는 1:1 PT 5회 프로그램이 있습니다. 
서울 은평구에는 헬슐랭피트니스에서 하는 헬스 1개월권 프로그램이 있습니다. "
서울 은평구에서 태권도에 대한 강좌를 알려줘.,"서울 은평구에는 에블봄에서 하는 태권도, 특수체육, 뉴스포츠, 재활운동 프로그램이 있습니다. 
서울 은평구에는 한국체대수태권도장에서 하는 한국체대수태권도장 프로그램이 있습니다. 
서울 은평구에는 경희대중앙태권도에서 하는 태권도 프로그램이 있습니다. 
서울 은평구에는 연광태권도에서 하는 연광태권도 프로그램이 있습니다. 
서울 은평구에는 건민체육관에서 하는 건민태권도 중등부,고등부 주 4~5회 프로그램이 있습니다. "
서울 은평구에서 기타종목에 대한 강좌를 알려줘.,"서울 은평구에는 다솜운동발달센터에서 하는 심리운동 프로그램이 있습니다. 
서울 은평구에는 다솜운동발달센터에서 하는 특수체육 프로그램이 있습니다. 
서울 은평구에는 은평햇살아동발달센터에서 하는 심리운동 프로그램이 있습니다. 
서울 은평구에는 은평햇살아동발달센터에서 하는 특수체육 프로그램이 있습니다. 
서울 은평구에는 은평햇살아동발달센터에서 하는 특수체육 프로그램이 있습니다. 
서울 은평구에는 해봄아동청소년발달센터에서 하는 심리운동 프로그램이 있습니다. "
서울 은평구에서 합기도에 대한 강좌를 알려줘.,서울 은평구에는 현중무관 백호합기도에서 하는 현중무관백호합기도 프로그램이 있습니다. 
서울 은평구에서 탁구에 대한 강좌를 알려줘.,"서울 은평구에는 뉴타운탁구클럽에서 하는 탁구구장비 프로그램이 있습니다. 
서울 은평구에는 뉴타운탁구클럽에서 하는 탁구 프로그램이 있습니다. 
서울 은평구에는 라온탁구클럽에서 하는 라온탁구클럽 탁구레슨 프로그램이 있습니다. 
서울 은평구에는 상암탁구클럽에서 하는 탁구 프로그램이 있습니다. 
서울 은평구에는 구산탁구교실에서 하는 탁구 프로그램이 있습니다. 
서울 은평구에는 수탁구클럽에서 하는 탁구강좌 프로그램이 있습니다. 
서울 은평구에는 박성천탁구교실에서 하는 장애인 프로그램이 있습니다. "
서울 은평구에서 골프에 대한 강좌를 알려줘.,서울 은평구에는 골프에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 줄넘기에 대한 강좌를 알려줘.,서울 은평구에는 줄넘기에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 필라테스에 대한 강좌를 알려줘.,"서울 은평구에는 플라잉 온 필라테스에서 하는 필라테스 프로그램이 있습니다. 
서울 은평구에는 이룸기구필라테스 증산에서 하는 개인필라테스 2회 프로그램이 있습니다. "
서울 은평구에서 축구(풋살)에 대한 강좌를 알려줘.,서울 은평구에는 축구(풋살)에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 요가에 대한 강좌를 알려줘.,"서울 은평구에는 에스핫요가에서 하는 1:1개인 수업 프로그램이 있습니다. 
서울 은평구에는 에스핫요가에서 하는 시니어요가 프로그램이 있습니다. "
서울 은평구에서 댄스(줌바 등)에 대한 강좌를 알려줘.,서울 은평구에는 댄스(줌바 등)에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 당구에 대한 강좌를 알려줘.,서울 은평구에는 당구에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 수영에 대한 강좌를 알려줘.,서울 은평구에는 수영에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 볼링에 대한 강좌를 알려줘.,"서울 은평구에는 은평칠텐볼링센터에서 하는 은평칠텐장애인볼링교실 프로그램이 있습니다. 
서울 은평구에는 은평칠텐볼링센터에서 하는 은평칠텐장애인볼링교실 프로그램이 있습니다. "
서울 은평구에서 에어로빅에 대한 강좌를 알려줘.,서울 은평구에는 에어로빅에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 클라이밍(암벽등반)에 대한 강좌를 알려줘.,서울 은평구에는 클라이밍(암벽등반)에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 검도에 대한 강좌를 알려줘.,서울 은평구에는 검도에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 테니스에 대한 강좌를 알려줘.,서울 은평구에는 테니스에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 복싱에 대한 강좌를 알려줘.,"서울 은평구에는 트리플짐에서 하는 킥복싱,주짓수 프로그램이 있습니다. "
서울 은평구에서 종합체육시설에 대한 강좌를 알려줘.,서울 은평구에는 종합체육시설에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 농구에 대한 강좌를 알려줘.,서울 은평구에는 농구에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 승마에 대한 강좌를 알려줘.,서울 은평구에는 승마에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 무용(발레 등)에 대한 강좌를 알려줘.,서울 은평구에는 무용(발레 등)에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 배드민턴에 대한 강좌를 알려줘.,서울 은평구에는 배드민턴에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 유도에 대한 강좌를 알려줘.,서울 은평구에는 베스트플러스에서 하는 유도 주짓수 프로그램이 있습니다. 
서울 은평구에서 주짓수에 대한 강좌를 알려줘.,서울 은평구에는 주짓수에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 스쿼시에 대한 강좌를 알려줘.,서울 은평구에는 스쿼시에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 롤러인라인에 대한 강좌를 알려줘.,서울 은평구에는 롤러인라인에 관한 프로그램이 존재하지 않습니다.
서울 은평구에서 펜싱에 대한 강좌를 알려줘.,서울 은평구에는 펜싱에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 헬스에 대한 강좌를 알려줘.,서울 종로구에는 max 스포츠에서 하는 헬스.골프 프로그램이 있습니다. 
서울 종로구에서 태권도에 대한 강좌를 알려줘.,서울 종로구에는 종로태권도아카데미에서 하는 태권도 프로그램이 있습니다. 
서울 종로구에서 기타종목에 대한 강좌를 알려줘.,"서울 종로구에는 원알엠피트니스에서 하는 센터이용방법 프로그램이 있습니다. 
서울 종로구에는 스타점핑에서 하는 점핑 프로그램이 있습니다. "
서울 종로구에서 합기도에 대한 강좌를 알려줘.,서울 종로구에는 합기도에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 탁구에 대한 강좌를 알려줘.,서울 종로구에는 탁구에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 골프에 대한 강좌를 알려줘.,서울 종로구에는 골프에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 줄넘기에 대한 강좌를 알려줘.,서울 종로구에는 줄넘기에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 필라테스에 대한 강좌를 알려줘.,"서울 종로구에는 필라테스포유에서 하는 1대1 기구필라테스 및 PT 프로그램이 있습니다. 
서울 종로구에는 필운스튜디오에서 하는 요가,필라테스 프로그램이 있습니다. "
서울 종로구에서 축구(풋살)에 대한 강좌를 알려줘.,서울 종로구에는 축구(풋살)에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 요가에 대한 강좌를 알려줘.,서울 종로구에는 요가에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 댄스(줌바 등)에 대한 강좌를 알려줘.,서울 종로구에는 댄스(줌바 등)에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 당구에 대한 강좌를 알려줘.,서울 종로구에는 당구에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 수영에 대한 강좌를 알려줘.,서울 종로구에는 수영에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 볼링에 대한 강좌를 알려줘.,서울 종로구에는 볼링에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 에어로빅에 대한 강좌를 알려줘.,서울 종로구에는 에어로빅에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 클라이밍(암벽등반)에 대한 강좌를 알려줘.,서울 종로구에는 클라이밍(암벽등반)에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 검도에 대한 강좌를 알려줘.,서울 종로구에는 검도에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 테니스에 대한 강좌를 알려줘.,서울 종로구에는 테니스에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 복싱에 대한 강좌를 알려줘.,서울 종로구에는 복싱에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 종합체육시설에 대한 강좌를 알려줘.,서울 종로구에는 종합체육시설에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 농구에 대한 강좌를 알려줘.,서울 종로구에는 농구에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 승마에 대한 강좌를 알려줘.,서울 종로구에는 승마에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 무용(발레 등)에 대한 강좌를 알려줘.,서울 종로구에는 무용(발레 등)에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 배드민턴에 대한 강좌를 알려줘.,서울 종로구에는 배드민턴에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 유도에 대한 강좌를 알려줘.,서울 종로구에는 유도에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 주짓수에 대한 강좌를 알려줘.,서울 종로구에는 주짓수에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 스쿼시에 대한 강좌를 알려줘.,서울 종로구에는 스쿼시에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 롤러인라인에 대한 강좌를 알려줘.,서울 종로구에는 롤러인라인에 관한 프로그램이 존재하지 않습니다.
서울 종로구에서 펜싱에 대한 강좌를 알려줘.,서울 종로구에는 펜싱에 관한 프로그램이 존재하지 않습니다.
서울 중구에서 헬스에 대한 강좌를 알려줘.,서울 중구에는 헬스에 관한 프로그램이 존재하지 않습니다.
서울 중구에서 태권도에 대한 강좌를 알려줘.,서울 중구에는 태권도에 관한 프로그램이 존재하지 않습니다.
서울 중구에서 기타종목에 대한 강좌를 알려줘.,서울 중구에는 기타종목에 관한 프로그램이 존재하지 않습니다.
서울 중구에서 합기도에 대한 강좌를 알려줘.,서울 중구에는 합기도에 관한 프로그램이 존재하지 않습니다.
